retrocesso aprovar tal medida emendas constitucionais tentativa legitimar flagrantes inconstitucionalidades	train
não falar convalidação efeitos atos ilegais segundo lei art 54 pessoas têm conhecimento situação precária desde constituição federal 1988 assim além inconstitucional ilegal tal proposta	train
pessoas vida dedicada profissão preparados serviço todos objetos investidos notebook computador impressora dedicaram vida inteira ganhar direito apenas rua não justo efetivar sim anos dedicação	train
inconstitucional concurso público maneira adequada selecionar profissionais qualificados garantir princípio igualdade	train
concurso público forma seleção estabelecida recepção princípio supremacia interesse público eficiência outros ausência observância nesse sentido consubstancia violação postulados constitucionais dentre evidente retrocesso social	train
penso câmara deputados deveria ter vergonha votar pec conteúdo totalmente inconstitucional	train
chega apadrinhamento regra concurso vai fazer concurso interinos substitutos plena consciência cargo temporário	train
justo porque concurso pessoas minimo experiencia cartório assumem	train
todos pois inconstitucional	train
pessoa nunca fez concurso cartório cai colo injusto imoral	train
dedicada vida inteira população trabalho prestamos interinos	train
concretização direito adquirido pessoas interinamente desenvolvendo atividades	train
segurança jurídica	train
ja questao resolvida tanto aberto concursos agora interesse politico herdeiros irregular cartorios querem causar injustica nesse pais ja nao respeita nada concurso publico	train
nenhum	train
afronta totalmente constituição federal	train
onde fica meritocracia absurdo total vergonha pec	train
concurso público desde constituição 1988 concurso todos deseja ingressar carreira faça legitimamente estudando passando concurso	train
aprovada pec pretende efetivar atuais interinos cartórios aprovação concurso público absurdo retrocesso moral sociedade não aguenta tipo conchavo indicações políticas antidemocráticas favorecimentos ilegais	train
elevar princípio isonomia participação coisa pública legitimar delegação serviço público concurso selecionar melhores preparados completamente inconstitucional	train
referida pec fere previsão constitucional concurso público provas títulos interinos cartórios conhecimento situação precária titularidade assim não faz sentido pec afronta princípios democráticos constituição federal 1988	train
retrocesso país nenhum fundamento problemas pessoas idôneas simples imagem familiares pessoas influentes contar aperfeiçoaram atividade saber lidar situações problemas encontradas cartórios todos dias	train
famoso trem alegria onde pessoas não concursadas alguns formação superior administrando cartórios rentáveis querem estabilizados enquanto vários concursados aprovados esperando tomar posse forma justa honesta	train
proposta viola princípio concurso público	train
direitos garantidos compromissados justiça	train
direito adquirido	train
vergonha cidadãos deste país pessoa irá ganhar governo serviço público ingresso através concurso não queiram beneficiar pessoas lastimável	train
afronta constituição federal não embasamento legal justifique pec deixando evidente interesses obscuros propõe	train
justiça dedicam anos atividade notarial registral	train
maioria respondentes tempo respondendo cartórios vida conhecimento dedicação acho justo efetivados	train
nenhum	train
efetivar concurso não boa prática representa oportunismo favorecimento precisamos implementar meritocracia interinos podem fazer concurso conquistar efetividade	train
nao existe ponto positivo	train
pessoas precisam informar sobre conteúdo nunca mencionado extinção concursos públicos apenas visa proteger pessoas tempo trabalhando nestas funções não podem simplesmente dispensadas funções descartáveis concurso continuaria acontecendo protege serventias deficitárias cidades pequenas poucos recursos difícil acesso coisa concursado nenhum quer data	train
aprovada abrirá precedentes situações semelhantes outros cargos sendo dispositivo acabar nomeações irregulares	train
pessoas vida cartorária antes devendo assegurado direitos	train
viola princípio moralidade princípio concurso público estabelecido constituinte originário	train
justiça pec 471 melhor opção interinos devem sim efetivados cartórios pois dão sangue profissão ficam dentro cartório trabalhando	train
atividade notarial registral evoluiu desde determinou ingresso concurso público provas títulos interinos podem fazer concurso público pq não fazem pq não competência passar concurso público	train
pec beneficia milhares pessoas moram interior brasil não acesso serviços notarias registrais pois cartórios próximos residências não ocupados concurseiros almejam cartórios altas rendas	train
outorgar titularidade cartório alguém não passou concurso público provas títulos quase nunca capacidade técnica gerir serventia população apedreja cartórios porque dados mão beijada ainda dias hoje	train
muitos	train
